Бренд;Товар;Автор;Дата;Оценка;Текст отзыва;Фото (ссылки);Ссылка на товар
DFC;DFC SB-AT-3001;Аноним;;8;В Валентина Л. 29 апреля 2026 Цвет товара: коричневый товар пришёл вовремя,спасибо продавцу.Все целое,что очень важно.Покупали в подарок сыну.Очень доволен и мы в том числе.Играем каждый день 👍 Цена-качество 👍 процветания вам  00:06 Вам помог этот отзыв? Да 1 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-15/wc500/9257e62f-a395-48fb-85ba-640d10ef5cc6.jpeg | https://ir.ozone.ru/s3/rp-photo-12/wc500/1c2378b9-3720-4b1f-aaf1-46c1fd81d27a.jpeg | https://ir.ozone.ru/s3/rp-photo-11/wc500/2c807c26-df2e-4f16-a0ee-662b271da7ee.jpeg | https://ir.ozone.ru/s3/rp-photo-12/wc500/399a8ddb-ffe4-47c2-bece-aa8c422ee14c.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;10;Е Евгений С. 21 апреля 2026 Цвет товара: светло-серый-белый-светло-синий всё всем понравилось 👍👍👍 особенно детям.  04:46 Вам помог этот отзыв? Да 15 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-12/wc500/72beeaff-9d7b-42f2-b6a4-7f1b140f2819.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;Г Галина П. 18 июня 2026 Цвет товара: зеленый-серый Доставили быстро. Коробка вся разбита, заклеена скотчем. Звезду снимать не стала, внутри вроде бы все на месте. Это подарок внуку на день рождения, поэтому доставать из коробки не стала. Надеюсь, что комплектация не нарушена.  Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-11/wc500/ac528109-9493-469c-9945-937c248f157f.jpeg | https://ir.ozone.ru/s3/rp-photo-11/wc500/73639b8d-913d-465e-ad5a-3a7bbdd9af15.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;А Анна Р. 20 апреля 2026 Цвет товара: коричневый-светло-зеленый Настольный футбол хорошего качества.Интересно и удобно играть не только детям,но и взрослым.Единственный момент,нужно ставить на не скользящую поверхность,чтобы предотвратить подвижность поля при игре  Вам помог этот отзыв? Да 1 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-13/wc500/bd32bedc-1de3-445b-ac17-01440b0879df.jpeg | https://ir.ozone.ru/s3/rp-photo-14/wc500/b24507dd-8a07-47c0-97de-544fa29311e8.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;Иван В. 29 апреля 2026 Цвет товара: темно-синий Отличный, качественно выполненный бильярд. Не хлипкий, не шатается ничего. Кии удобные, шары тяжеленькие. Играем всей семьёй. Рекомендую.  Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-14/wc500/d45c54d1-d92c-44a3-b29b-75b939f35c04.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;И Имя скрыто 28 мая 2026 Цвет товара: голубой-черный Игра пришла в хорошей плотной коробке, всё целое и в наличии. Игра как настоящая. Ребёнок играет с удовольствием, взрослые - тоже)  Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-12/wc500/ba6ceee4-0258-4730-8179-fe9bffb757fb.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;8;А Алсу М. 12 мая 2026 Цвет товара: светло-коричневый-коричнево-красный товар пришёл быстро, упаковка качественная, внутри пенопласт и защита углов, напор воздуха хороший, собрали быстро, все работает.  00:25 Вам помог этот отзыв? Да 1 Нет 0 Ответить;;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;R Ruvy 13 апреля 2026 Цвет товара: синий-белый Прекрасная игра, поле большого размера, дети с восторге, папа в восторге! Доставка опоздала на 1 день, но а празднику успели!  Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-14/wc500/b0d5cfa6-30ce-406d-bd41-1b8c382f3837.jpeg | https://ir.ozone.ru/s3/rp-photo-12/wc500/fb22b8ac-21e3-408a-8ecc-23447db01a16.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;М Максим Ч. 5 мая 2026 Цвет товара: синий-белый Вполне хороший аэрохоккей! Надо шайба где-то на поле застревает, надо иголкой отверстия в этом месте почистить!  Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-14/wc500/650048cf-6870-4089-878a-04eb3fc1d744.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;М Марина Т. 2 мая 2026 Цвет товара: голубой-черный Игровой стол- аэрохоккей пришёл в хорошем состоянии. Полная комплектация. Работает от сети. Размеры впечатляют.  Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-15/wc500/2ec1304d-d87c-4285-bf37-a82608ad5f52.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;8;Елена 25 апреля 2026 Цвет товара: коричневый Подклейка к бите не удачная. Приклеила, но дети скрутили сам «войлок» от основания. В целом, неплохо, играть можно. Шум от вентилятора несильный.  00:17 Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-15/wc500/e9cabd4d-6e4f-47c1-b807-4cddd8bee4d2.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;Т Тимофей С. 3 мая 2026 Цвет товара: коричневый Относительно большой стол, удобный размер. Мертвых зон, где останавливается шайба нет. Единственный минус - недостаточная ширина ворот, если поставить биту посередине, шайба не проходит ни с одной стороны.  Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-11/wc500/4d737118-9999-4b66-87be-8475290ca237.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;О Оксана Ш. 25 апреля 2026 Цвет товара: коричневый Давно мечтали о таком столе. К сожалению, пришёл нерабочий. Хотя выглядит очень качественно. Постараемся заменить  Вам помог этот отзыв? Да 0 Нет 0 Ответить 2 комментария;https://ir.ozone.ru/s3/rp-photo-15/wc500/4d06d8f9-d9ba-4c44-83c6-3985734da599.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;Л Лилия К. 12 апреля 2026 Цвет товара: коричневый Пришел хорошо запакованный. Все работает, всё целое. Ребёнок в восторге. В реальности больше чем на фото.  Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-13/wc500/90ea0864-3bcf-407d-bf90-2501400fe229.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;8;Лейла О. 18 мая 2026 Цвет товара: коричневый Вообще крутая игрушка . Взяли в подарок сыну на 2 года . Час играли с мужем сами 😆 Сын в восторге .  00:05 Вам помог этот отзыв? Да 3 Нет 0 Ответить;;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;Р Роман Р. 7 мая 2026 Цвет товара: коричневый Товар пришел вовремя, ветер дует хорошо. Проверяйте то, что он работает от зарядки, а не от батареек.  Вам помог этот отзыв? Да 0 Нет 0 Ответить;https://ir.ozone.ru/s3/rp-photo-13/wc500/3221c9f4-4da4-452d-b6d7-3d3617936d72.jpeg;https://www.ozon.ru/product/813170786
DFC;DFC SB-AT-3001;Аноним;;7;Л Любовь А. 1 мая 2026 Цвет товара: светло-серый-белый-светло-синий за такие деньги , с клееного Кортона конструкция , ещё и с браком , купили подарок ребенку называется  Вам помог этот отзыв? Да 0 Нет 0 Ответить 2 комментария;https://ir.ozone.ru/s3/rp-photo-14/wc500/28eba88d-31b7-4dbd-b9e2-a28add731c21.jpeg;https://www.ozon.ru/product/813170786
